algorithm,original_filename,score
clahe,ArTcMtzr.png,11.94
clahe,e6F1B4Nu.png,24.91
clahe,xbCT8GYB.png,15.67
clahe,5RvkxlEn.png,26.19
clahe,wOo8ErAp.png,16.21
clahe,C2sW02Pb.png,35.08
clahe,2492.png,29.32
clahe,eD80tfb0.png,33.27
clahe,sIRg3bxV.png,30.63
clahe,st8rpLhL.png,19.78
clahe,iR11xmm6.png,25.04
clahe,2712.png,29.17
clahe,5392.png,13.35
clahe,pqpowjWytV.png,18.32
clahe,EPZR1fy0.png,19.86
clahe,cWgtknxT.png,8.68
clahe,ZubodrV3.png,43.69
clahe,5jZ7JEaf.png,21.28
clahe,2632.png,3.25
clahe,HRIDu722.png,50.34
clahe,nW0D1IyP.png,22.85
clahe,p5UHDR4B.png,46.55
clahe,v8BUbM0qzh.png,2.29
clahe,0AKZCRZA.png,19.23
clahe,4GhWdDgL.png,7.46
clahe,rTZ2kCFZ.png,16.74
clahe,Aou9FnAk.png,22.62
clahe,1qi37zp9.png,24.37
clahe,p7AcQyu4.png,14.18
clahe,GAsEU2H1.png,10.43
clahe,S63ETFU7.png,27.46
clahe,AVCp2OuH.png,20.78
clahe,15OshbSL.png,15.26
clahe,76YyJwJY.png,6.04
clahe,1U1JtTj5.png,21.91
clahe,3zjXPhH6.png,15.83
clahe,DFxh5iCv0V.png,44.32
clahe,dYALjrEi.png,36.81
clahe,0cbjzEYU.png,15.39
clahe,nwsa6vQR.png,21.76
clahe,CIVzV3mb.png,36.56
clahe,4112.png,23.38
clahe,cSCqquLSO7.png,59.44
clahe,IUY4ozVz.png,33.83
clahe,UWcUPcvd.png,28.91
clahe,1JjDOfGV.png,19.27
clahe,phLN04FA.png,20.92
clahe,jWmtaMHD.png,9.28
clahe,4542.png,31.03
clahe,jhoN0GAh.png,20.53
clahe,1hE4hLmY.png,6.17
clahe,Hq2PRwHf.png,2.75
clahe,1GM0KHq0.png,28.88
clahe,61a6Lr0z.png,15.01
clahe,4342.png,38.85
clahe,FRFRsMss.png,9.19
clahe,YEstuk8V.png,48.75
clahe,vi109UTc.png,21.39
clahe,YN3WBEw4Nm.png,20.79
clahe,9OjeQH6M.png,7.36
clahe,S8ISSF7y.png,29.53
clahe,1GjI0YIS.png,22.46
clahe,syEnsfOi.png,40.55
clahe,trqsuJYz.png,37.17
clahe,ZYf6pW74.png,28.88
clahe,wjEH5Wse.png,21.63
clahe,2372.png,13.42
clahe,3qJF9mJq.png,6.86
clahe,InXetlKB.png,1.15
clahe,1122.png,16.51
clahe,fHkWwhPL.png,10.33
clahe,5bUMtSIR.png,16.33
clahe,p5atvZRX.png,19.73
clahe,C5dRF6Bx.png,26.75
clahe,3732.png,48.69
clahe,YXlYNduz.png,10.58
clahe,Wlm1gZ36.png,9.09
clahe,rsfnjiLK.png,21.23
clahe,kqFfRw0s.png,15.5
clahe,f1B2hShN.png,14.11
clahe,ZfmtpDL9.png,6.14
clahe,YSv3ZMAB.png,26.75
clahe,76jFmOA9.png,11.86
clahe,jb2OPpkq.png,30.49
clahe,w76UyAAA.png,23.31
clahe,imyyw77u.png,26.7
clahe,xadCi5HBxc.png,4.69
